word	description
ELITE	Choice group 
SIREN	Loud warning to pull over
EMEER	Eastern official.
OUTER	North Carolinas  Banks
ELITE	Societys
LEASE	Contract.
TRAIT	Distinguishing characteristic
ERROR	Muff
INPUT	(Person's) contribution
CELLO	Casals' forte
ARROW	It killed Achilles
SIREN	Alarm sound
OTTER	Furry aquarium entertainer
SIREN	Charmer
RORAL	Dewy, in poetry 
ENTER	Treen (anagram)
SNEER	Emulate Snidely Whiplash
ERROR	Trial's companion
DENSE	Thick, compact or crowded
ALTER	Change the hymn-book by omitting postscript
ALIGN	Put right
ERECT	Like an attentive dog's ears
ARRET	Judgment Fr. 
ELOPE	Run to wed
ATTAR	Petal perfume
RAISE	Rear what come from the sun, by the sound of it
SIREN	Alarm
WATER	It makes up about  of the bodys composition
SENSE	Wisdom 
TENOR	Melchior, for one 
UNION	Marriage.
ELOPE	Use a ladder for love's sake
UNION	Workers group
SIEVE	Leaky utensil
GROSS	Unrefined
ELOPE	Marry in haste
SIREN	Sarah Brightman song for a fire alarm
ARMOR	Steel plating on ships.
ENTER	Don't leave the tree in bits around the North
TACET	Direction for silence: Mus.
INTER	Finally put to rest
YAGER	Sharpshooter Var. 
IMAGE	Religious statue.
AGREE	Get along
ERROR	Misstep
EMAIL	Its spam a lot
ENTER	Knock response
ELOPE	Flee to unite
ASCII	Computer code initials
DIRTY	Due for a bath
ARENA	District stage
SIREN	Rinse (anagram)
ABOVE	Suspicion  film
SENSE	Fool's lack
ISLET	Key West for one
ERROR	Foulup cause
DISCO	s genre
CRUSH	Fanta alternative
EVADE	Stay one step ahead of
MERGE	Move into freeway traffic
GROSS	Ick
ARMOR	Knight protection
RESIN	Organic polymer
ELOPE	Escape to Vegas, maybe
ESSAY	English test item
ELATE	Enrapture
ALERT	Quick on the uptake
TIBER	In Italy, the Tevere. 
VALET	Batman's cousin 
GROSS	Income statement item
RERAN	Played on TV again
ENTER	Road sign instruction
CHESS	Game with kings and pawns
SNORE	Something boring, so to speak
REINS	Hansom straps
OLDIE	Look back and pine for classic song
THINE	Yours, to Shakespeare
ELOPE	Run, do not walk, to the nearest altar
SCALE	Clean fish
SIREN	Warning device, alluring woman
DATER	P. O. stamp.
START	Be in the opening lineup
ANIMA	Jungs feminine side
ADDER	Reptile 
AWARE	"In the know" managers
ELITE	Pick of the Spanish, Italian, and English
ARROW	One of a keyboard's four
AWARE	Informed some of the raw article is rejected
OUTER	It might be more off-centre so to rue this
SIEVE	Screen, sift, strain
RISER	Upright part of a stair. 
HALAL	Food that's permitted in hospital, prepared with hint of lemon
ENTER	Step in 
CHESS	Morphys game
RAKED	Gathered, as leaves 
ELATE	Bring joy to people finally, pushing up the daisies
SIEVE	Metaphor for a blabbermouth
ARMOR	Mail, maybe
OTTER	Frisky mammal
ERODE	Crumble away, as shoreline
ERECT	Hard up (wordplay)
AMATI	Violinmaker of yore
AMIGO	Panchos friend
ATTAR	Rosa damascena product
SENSE	Meaning - feeling
AROSE	Loomed
ELITE	Those with status
RIATA	Tiara turned into a cowboy's rope
OTTER	Playful fisheater
ARROW	It'll tell you where to go
OSAGE	orange inedible fruit
ARENA	Venue with many seats
ELOPE	Run to beat the banns. 
DREAD	Making dunderhead study is dire
HOTEL	Concierges workplace
CELLO	Part of a string section
OVOLO	Rounded molding.
AEGIS	Umbrella
SCARE	Produce (with "up").
DREAD	Are hopelessly trapped in dead ends and fear the worst
DEFER	Rush up about the forte and put it off
EIDER	Duck valued for its down
ELOPE	Have one's cake and beat it, too (wordplay)
MOTOR	Go for a spin
WHARF	Liners landing spot
ENTER	Directors instruction
SENSE	Certain organs 
DREAR	Dismal, to poets
ELOPE	Skip the fuss, not the ceremony
HEART	Sympathy.
ERECT	Not bent
RESTS	Regains one's energy, in a way
SENSE	Hell or smearing
SENSE	Touch, say
RATIO	A trio's broken relationship
SIEVE	Bakers tool
EROSE	Irregular, as leaf edges. 
SPARE	Converted split, to a bowler
ARMOR	Tanks et al.
ENTER	A word to those expectant types with Pierce (wordplay)
ENTER	It may be over Shift
EROSE	Notched, as some leaves. 
OTTER	Fish-eating water animal with brown fur
SENSE	Taste or smell eg
NEVER	Defiant reply
ESSAY	Bacon piece (wordplay)
CELLO	One of the strings.
ORLON	Drip dry fabric.
LONER	Nongregarious chap
CARTE	Name of G and S fame
AROSE	Mighty lak
CELLO	Fiddled with this to a large extent
EMAIL	Communication option
OTTER	Brown freshwater carnivore
ARISE	Sprout
RINSE	Beauty-shop treatment
OTTER	Mink's playful cousin
AMUSE	Tell jokes say
RAKED	Attacked vigorously
RAISE	What the Little Steel formula prevents.
SCALE	Clue for 20-, 39-, and 56-Across
EDGER	Lumber trimmer. 
INERT	Less than total abstainer tipples still
AVERT	Prevent a disaster
SENSE	Meaning to find out about bridge partners
STEAL	Baseball ploy 
ESSAY	Piece of Lamb
ETERN	Forever, to Byron
AMATI	Italian family of violin-makers
RAKED	Gathered leaves in the fall
DREAD	Be in fear of 
ERODE	Become weatherworn
MISER	Fagin, for one
AMUSE	Cause to chuckle
GLADE	Picnic place
LEVEL	Video game unit
RIATA	Southwest lariat 
SEDER	The Haggadahs read here
ENTER	PC command
LONER	Hardly a people person
RERAN	Got more mileage out of
ENDUE	Provide, as with talent
DISCO	Seventies dance venue
PIPIT	Songster, it went after seed
SONAR	Sound navigation
CHESS	Scheme of "Looking-Glass" land.
WIRER	Electrician often
EVENT	Nine days' wonder, for example
SIREN	Reason to look in a rear-view mirror
GOOSE	Golden-egg producer
SONAR	Antisub gear
SENSE	Reason. 
PLEAD	Request earnestly
ELATE	Send spirits soaring
POSIT	Put forth, as a question
EXERT	Exercise influence to remove bolt from letter box
CARTE	la  one way to order
AMATI	Violinist's prize
ENTER	Reiners  Laughing
EYRIE	High roost.
EROSE	Jaggededged
ATTAR	A fragrant volatile oil.
CHESS	Setting for a castle
ANTES	Pre-hand starters
SONAR	System in a submarine
SENSE	Good thing to make, generally
PESTO	What you get when you blend the results of this puzzles recipe instructions
EMEER	Arab title
ARMOR	Part of a "Game of Thrones" costume
GOOSE	'Golden-egg' provider.
SNERT	Dog in a horned helmet
CELLO	Casals' strings
EVENT	Part of a decathlon.
UPSET	Distressed; overturn
IMBUE	Inspire as with feelings
AMUSE	Delight. 
AMUSE	Create a diversion
SENSE	Kind of organ
EMAIL	Letters in cyberspace
ELOPE	Run away together 
ELATE	Inspire ecstasy in
AMATI	Cremona name of note 
PLEAD	Beg, implore
RAKED	Cleared, as leaves
EYRIE	High home (var.)
FRYER	"Deep" kitchen appliance
ENTER	"Please, come in!"
CELLO	Yo-Yo's strings (wordplay)
TIBER	River into the Tyrrhenian
DEBIT	Red-ink entry
ERROR	Alarm has no time lapse
WHIST	Hush! It's only a game!
ENTER	Become a member of 
SPOOL	Cylinder
ENTER	Go into section of garden terrace
AMATI	Valuable musical antique
AWARE	What skippers need to be at all times
DISCO	Genre declared dead in 1979, but which thankfully survived
AROMA	Perfumerys attraction
SIEVE	Word for a leaky boat.
EVENT	Hassall's urgent appeal to fortified town (wordplay)
UPSET	Unexpected victory.
ATTAR	Essentially, Rose gets at the sailor
ERROR	Reason to reboot, maybe
SENSE	Have a feeling (that)
RAKED	Gathered, as autumn leaves
ARISE	Command to a new knight
INERT	Chemically quiet
ELOPE	Marry in haste 
OTTER	Kind of hound 
OTTER	Playful water-dweller
OTTER	Animal sought in 2016's 'Zootopia'
AGREE	Conform (with)
EVENT	Reporter's assignment 
DELAY	It sucks at airports
UNTIE	Remove the tether
AROMA	Bakery bonus 
ELITE	Choice class
ALARM	Rouse to action
ENTER	Script order
USURP	Use without authority
ALIEN	Spaceship flier
HOTEL	Hailey best seller: 1965
HOTEL	Code for H
SENSE	Talking Heads Stop Making
ENTER	Put on the books 
ERODE	Slowly destroy
TEARS	One of a Churchill trio.
NEVER	Royal Navy upset about female entry? Surely not!
ARENA	Type of big time band or rock
SALON	Elegant living room 
ETERN	Endless to poets
SNEER	Villain's facial expression.
ERROR	Dreaded computer word
HEMEN	Tarzan et al. 
UVULA	Soft palate projection
ELATE	Bring bliss
AEGIS	Sponsorship 
FROST	'Punkin' coverer
ELATE	Bring joy
ERECT	Choose to build, employing the other hand
ERODE	Wear in a way
ORATE	Work on the stump
AISLE	Seat preference perhaps
FRUMP	Dull unattractive woman
LEAVE	Depart - holiday
ARMOR	Sheathing
HELLO	Is not in Hollies - and that's to be welcomed
AROMA	Type of therapy
ERECT	Up in bed
BEING	Human chaser 
DREAD	Awe.
ERROR	Mistake or mishap
OTTER	Man working with earthenware loses head with relative of weasel
SENSE	Elinor Dashwood personified it
CHESS	Spassky's passion
ENTER	the Dragon  Bruce Lee film
AISLE	Separates seating areas in a theatre
ESSAY	English-class assignment
DRIVE	In football, a sequence of plays leading to a score
ARMOR	Jouster's get-up
AGREE	Concur with religious teaching in time
ENTER	Oft-pressed key
SENSE	Sound judgment. 
REVUE	Variety show
ILION	Topless-towered Troy. 
ANTES	Stakes
NEVER	No chance!
EMEER	Kuwait noble Var
ARROW	Computer cursor often
SCARE	Instill fear in
SIEVE	Kitchen utensil with a mesh
SCARE	Supposed hiccups cure
ELATE	Cause jubilance
ALLAY	Set to rest as fears
ERECT	Build, upright
AMUSE	Entertain. 
MOTOR	Make fast circles round tunnel's entrance - move quickly!
ELATE	Exhilerate
ELOPE	Get hitched in the town hall, say
SIREN	Circe
ENTER	Put in, as into a log
MANIA	Wrestle suffix
RESIN	Glue pictures into frames
SALON	Hairdresser's workplace
RATER	Olympic judge at times
AMATI	Superb violin
ENTER	Put into a computer
ARENA	Sphere of competition
RIVAL	Neighboring school, possibly
OSIER	Tree is more comfortable, less cold
DISCO	'Saturday Night Fever' setting
SUGAR	See 26
RAKED	Gathered in
AMUSE	Make mirthful.
SENSE	Taste, for instance. 
ELITE	Superior class 
ATTAR	Rose petal oil
CLING	Emulate a limpet
DREAD	Terrible fear
HELLO	Exclamation of surprise
ANISE	Aromatic oil
ELOPE	Nix the fancy nuptials 
SWOON	Become overloaded with emotion, maybe
OVULE	Egg cell
NEVER	If Tomorrow  Comes Garth Brooks hit
REVUE	Musical
LONER	Solo goer 
MONEL	Nickel and copper alloy 
SENSE	Shakin' Stevens ignoring TV impression
ARROW	Straight bar (wordplay)
ERROR	Typo, say
DISCO	Music genre - dance venue
OTTER	Animal that shares its name with a brand of phone case
ARMOR	Exoskeleton, for example
ERROR	Bloomer
OTTER	Animal's excessive energy on runs
DRIVE	Impetus in charity event (wordplay)
UVULA	Oral pendant
SIEVE	Holey kitchen tool
MEANT	Foreordained
ORATE	Talk big
RESTS	Score breaks
SCARE	Type of tactic
SIEVE	Steel trap's opposite
SHAME	A Low Down Dirty
ORDER	Fiat. 
ELOPE	Secretly form a union
SENSE	Common or taste
RENTE	Revenue, in France. 
AMATI	Fine fiddle maker
TWEED	Jacket material, sometimes
RAISE	Reward of a kind
ENTER	Butlers invitation
ERECT	Uplifted.
STEAL	Take
BESET	English surrounded in worst attack on all sides
ERECT	Standing to attention before the court
EMEER	PAsha's PAl 
SALON	Bun-making site
LEAVE	Shore time
LINER	Andrea Doria.
ALIEN	Fictional creature from Mars
ORATE	Declaim from a podium. 
DRYER	Appliance that may be coin-operated (Like some...)
ARROW	Symbol on a "This way" sign
ELIDE	Slur over, as a final vowel.
LITHO	Print made from a stone for short
NEVER	On no occasion
EIDER	Quilt stuffing
EROSE	Looking gnawed away
EXERT	Apply as elbow grease
LEERY	Smelling a rat
ELOPE	Split to get spliced
TASER	Felon feller
UPEND	Drastically affect
START	Take  clue
TREED	Having nowhere to run
OTTER	One lives by the river, that's comparatively warm in the East End
OSAGE	Native American, old and wise
REATA	Gauchos necesidad
ERROR	Type I or Type II, for example, in statistics
SIREN	Urban wailer
TARTY	Cheap and showy
AMATI	Precious violin 
ELOPE	Run away to marry in novel opening
EMEER	VIP in Yemen
EROSE	Irregularly incised 
ALARM	Crimescene noise
ELITE	The Power  C Wright Mills book
EROSE	Not even
ALIEN	One who's not from around here
ALIEN	Venusian for one
CELLO	Luggage item for Casals
EIDER	Bird that gets you down
SENSE	Hearing, taste or touch
SUGAR	Doughnut glaze ingredient
ELOPE	Bolt together 
RETIE	Make even tighter
PALET	Quoit Fr
WAIVE	Forgo greeting verbally (wordplay)
ELITE	Superior or favoured group of people
SIDED	Allied
ARROW	Shape on a "one way" sign
FUSES	Blends together as with heat
OTTER	Whiskered San Francisco Zoo resident
SCARE	Intimidate.
ARMOR	Suit in a medieval court (wordplay)
TEMPT	Was secretary heard to entice (wordplay)
CURSE	Give a fuck (wordplay)
LEDGE	Building shelf
ORATE	Sound off in the Senate
RASTA	Member of religious group sitting in orchestra stalls
EMAIL	Highspeed transmission
ELOPE	Run to Vegas, maybe
START	Begin - opening move
FRIES	Fastfood food
KORMA	Yogurt-based Indian stew
ELITE	Silkstocking
TASER	Trademarked stunner
RASTA	One sporting dreadlocks
ADDED	Supplementary
NEVER	Negative adverb. 
ELOPE	Steal away to wed
DISCO	'70s music fad
CLING	Stick (to)
SIREN	Loud whistle or sailors' enchantress
RELIC	It's a thing of the past
ENTER	Come right on in!
ARMED	Having heat (wordplay)
ELOPE	Choose not to spend $35,000 on a wedding, say
ALIGN	Marshal from Orient (wordplay)
RISER	Stand for the singers
NEVER	'When pigs fly'
SPEND	Use up (one's resources)
CORPS	Military group
AGREE	Hollywood Squares answer choice
AMATI	Violin for a virtuoso 
RATER	Grader
TASER	Trademark derived from a Tom Swift book
LONER	Asocial person
LONER	Friendless one
CELLO	Yo-Yo's strings
ERODE	Chip away slowly
ELITE	Ritzy
LEAVE	Vacation 
LONER	Not a people person
OTTER	Thick fur
SCENT	A pointer hunts by it.
SENSE	Feel in the gut
DISCO	Hustlers hangout
ELITE	Set fire to the top people inside here
NEEDY	Deprived one fed by skipping starters
CELLO	Instrument for Yo-Yo Ma
LEAVE	Cut out
OSIER	Willow variety
SCARE	Hiccup cure, supposedly
ADDER	Snake - abacus (wordplay)
DREAD	The Tell-Tale Heart feeling
OILER	Gretzky, for most of the nineteen-eighties
ALARM	Sound a Klaxon
ELATE	Make merry.
CRUSH	Orange  drink
EXERT	Put in action
FRYER	Poultry buy
TEPEE	Brave house. 
MANIA	Opposite of "ennui"
ERROR	Infielder's bugaboo. 
INANE	Completely ridiculous
RERAN	Sought re-election.
ELITE	'74-'76 Ford model
CELLO	Casal's instrument
AMATI	Expensive violin
ENTER	Welcoming word
EIDER	Down for a puff. 
ELATE	Delight with return of online story (wordplay)
ELATE	Raise one's spirits 
ENTER	Go onstage
ARROW	Go this way indicator
FRIED	Didn't use a high enough 45-Across, maybe
ERECT	Build, as a monument
TEMPO	Pacing
ENEMY	A Capulet, to a Montague
TREES	Geneology
RAISE	Jack beams when speaking (wordplay)
OVOLO	Kind of molding. 
SALON	Where celebrities meet.
RERUN	Sitcom's second showing
TETRA	Fishstore purchase
RAISE	Union objective
GENTS	Nice guys
CHESS	Board meeting activity (wordplay)
RIATA	Cowboy's cowcatcher
OLDIE	Nostalgic song
SIREN	Challenge for Odysseus
ELOPE	Wed without telling
WIRER	Cable-company employee, often
TRAIT	It gets passed down
OUTER	External
LEAVE	Sign out
ERECT	Found. 
EYRIE	A breeding place for high fliers
ERODE	Decrease as support
OTTER	Animal cavorting by a stream
LOSER	Word with sore
DISCO	Party with records
GROWL	Weimaraner warning
ENTER	A.T.M. button
ELOPE	Tie the knot in Vegas
EMAIL	Paperless message
TENOR	John McCormack, for example 
AROID	Tropical plant
AMATI	Treasured violin
SPENT	Knackered, as a Brit would say
PLEAD	Beseech 
ENTER	Participate 
UVULA	It swings in the mouth
LATKE	Deli offering
MERGE	Ramp sign
INPUT	Enter data
EXERT	Apply to get English glam rock band backing
ELATE	Buoy one's spirits
INERT	Still I rent this
OTTER	Playful water creature
EXALT	Rhapsodize about
ERGOT	Cereal blight 
AGREE	Square (with)
ENTER	L-shaped computer key
INERT	Lacking motion 
UNTIE	Free 
FRUMP	Dowdy type
LEARN	Come to know.
SIREN	Woman in the Starbucks logo
WHEAT	Deli bread choice
EMEER	Arabian bigwig 
LEAVE	Holiday of a kind. 
DIRTY	In need of a good scrubbing
AMUSE	Keep entertained
TRILL	Diva's shake
LANKA	Sri  formerly Ceylon
BONUS	Payday extra
LEARY	'60s counterculture guru
PLEAD	State "Not guilty"
ELOPE	Head for Gretna Green
EROSE	Jagged 
STAMP	Benjamin Franklin was depicted on the first fivecent
ARENA	Bowl game setting
ATTAR	It can come out smelling like a rose
UNION	Bargainer at strike talks
MOWER	Lawn item 
FRIED	Pan should be able to make one like this
RESET	Turned back, say
CELLO	Julian Lloyd Webber's instrument
SCARE	Close one
ETERN	Ever, in poesy
OTTER	Over around the teetotaller for the water
FRIAR	His tale follows the Wife of Bath's
YIKES	Zounds
AGREE	Own a part of a golf course with no name
ANISE	Flavoring plant
STEMS	Stops the flow
ATTAR	Fragrant oil. 
ALIEN	A debtor's concern that's not natural
ERROR	You've no right to make it
AGREE	Harmonise and transpose reduction of Meyerbeer gavotte
THINE	Your of yore 
LAYER	Shes in the henhouse
EROSE	Uneven  as a leaf
ELOPE	Abscond to marry
UVULA	Palate lobe
SENSE	Fools lack
SOLUS	Alone, to Ovid
RINSE	Cleanse 
TREAD	the boards act
VICAR	Churchman. 
TIBER	Horatiuss river
WATER	Triatomic molecule
HEMEN	Tarzan et al
SIDED	Supported (with).
RAKED	Smoothed sand traps 
AMUSE	Give the giggles to
SENSE	Sight or taste, e.g
ARISE	Greet Eos
ERODE	Disintegrate slowly.
THINE	What's now yours
LITHO	Method of printing from a metal or stone surface (abbrev.)
OTTER	Aquatic creature's fiercer blowing top
RAKED	Gardened
LINER	Ship with staterooms
ELATE	Lift, ultimately unreliable, yet to arrive
DISCO	Dancing club
ERODE	Wear out 
GROWL	Rumble in the jungle (wordplay)
LEARY	Denis of 'Rescue Me'
BESET	Attack from all sides 
ELOPE	Wed stealthily
THINE	Third word of Psalm 86.
ELOPE	Go out through the bedroom window, perhaps
AGREE	Be of one mind. 
LEASE	Let the side take comfort from
ERODE	Slowly crumble from weather
OLDIE	Do lie about being past one's prime
SWAMP	Inundate.
STALE	Like "Why did the chicken cross the road?", joke-wise
ELOPE	Get an outofstate license
RERAN	Screened again
LEASE	Construction paper (wordplay)
SEDER	Passover feast 
LEASE	Paper for a pad
OTTER	Musteline animal
EVENT	Might happen to an escape from the East
DENSE	Thick, like fog
SCARE	Goose bumps cause
SKATE	Fish. 
ELOPE	Wed secretly
ALLAY	Calm, as fears
COULD	Auxiliary verb. 
UTTER	Total, say
UNSEW	Rip. 
SHEEN	Hot Shots! star
HEMEN	Bulky types
RISER	Step up
ARROW	Symbol on a 'one way' sign
NEVER	Now's opposite
ARMOR	Tilter's suit
SENSE	Horse quality
CRAPS	Gambling game.
EMEER	Islamic prince
SNEER	Show no respect
HEMEN	Big bruisers
TEARS	Flies
ERROR	'Not right, and would be frightful after a little tea (5)'
AMUSE	Cause a tickling
AVERT	Duck with success
LONER	Reclusive star, perhaps
AEGIS	Breastplate of Zeus or Athena
KARST	Limestone terrane
ERODE	Wash away over time
THINE	Drink to me only with  eyes Ben Jonson
ANTES	Blinds, in Texas Hold 'Em
ALIEN	Out of place
IDLER	One with little to do
LEARY	Commander of Eastern Sea Frontier
LEAVE	Way off base (wordplay)
ELOPE	Participate in a secret joint venture (wordplay)
SCARE	What ogres do 
ARMOR	Garb of medieval mail carriers. 
OVINE	Like a famous Dolly
ORATE	Be bombastic perhaps
SHEEN	She starts to be Polish, but only on the surface
